epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.304,0.10379,0.11328,0.27591,0,0,0.95512,0.11328
1,2.3022,0.10714,0.11328,0.14822,0,0,0.67983,
2,2.302,0.10714,0.11328,0.16335,0,0,0.6592,
3,2.3014,0.10714,0.11328,0.13898,0,0,0.7944,0.11328
4,2.3013,0.10714,0.11328,0.13184,0,0,0.61434,
5,2.301,0.10714,0.11328,0.1472,0,0,0.6528,
6,2.301,0.10714,0.11328,0.14465,0,0,0.82719,0.11328
7,2.3009,0.10714,0.11328,0.11974,0,0,0.65689,
8,2.301,0.10714,0.11328,0.13399,0,0,0.66119,
9,2.3009,0.10714,0.11328,0.13602,0,0,0.91262,0.11328
10,2.3011,0.10714,0.11328,0.13713,0,0,0.62651,
11,2.3008,0.10714,0.11328,0.12072,0,0,0.74546,
12,2.3008,0.10714,0.11328,0.10682,0,0,0.86039,0.11328
13,2.3008,0.10714,0.11328,0.099898,0,0,0.84183,
14,2.3008,0.10714,0.11328,0.12849,0,0,0.79103,
15,2.3008,0.10714,0.11328,0.11999,0,0,0.84241,0.11328
16,2.3008,0.10714,0.11328,0.1182,0,0,0.66016,
17,2.3008,0.10714,0.11328,0.10127,0,0,0.72583,
18,2.3008,0.10714,0.11328,0.13375,0,0,0.76212,0.11328
19,2.3008,0.10714,0.11328,0.10814,0,0,0.58862,
20,2.3008,0.10714,0.11328,0.12244,0,0,0.50362,
21,2.3008,0.10714,0.11328,0.13179,0,0,0.92859,0.11328
22,2.3008,0.10714,0.11328,0.10146,0,0,0.67489,
23,2.3007,0.10714,0.11328,0.12311,0,0,0.62763,
24,2.3008,0.10714,0.11328,0.13366,0,0,0.80941,0.11328
25,2.3007,0.10714,0.11328,0.11115,0,0,0.77796,
26,2.3007,0.10714,0.11328,0.12209,0,0,0.67538,
27,2.3008,0.10714,0.11328,0.14352,0,0,0.81369,0.11328
28,2.3007,0.10714,0.11328,0.11076,0,0,0.69468,
29,2.3008,0.10714,0.11328,0.12457,0,0,0.80439,0.11328
