epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.5495,0.10826,0.14062,3.5362,0,0,1.1778,0.47266
1,2.3493,0.09096,0.082031,1.3161,0,0,0.89254,
2,2.3185,0.095982,0.10938,1.2229,0,0,0.88156,
3,2.3072,0.094866,0.078125,1.0533,0,0,1.2028,0.44922
4,2.3047,0.087612,0.082031,1.1862,0,0,0.97438,
5,2.2992,0.087612,0.11328,1.0791,0,0,0.92376,
6,2.2975,0.094308,0.10938,1.093,0,0,1.009,0.47656
7,2.2962,0.10938,0.10938,0.93877,0,0,0.89808,
8,2.2951,0.10045,0.10156,1.0785,0,0,0.92477,
9,2.2925,0.12277,0.11328,1.0328,0,0,1.1844,0.48438
10,2.2911,0.1183,0.125,1.0307,0,0,0.92504,
11,2.29,0.11607,0.14844,1.0151,0,0,0.91653,
12,2.289,0.12277,0.13672,0.97235,0,0,1.0473,0.46875
13,2.2896,0.1317,0.15625,1.023,0,0,0.89008,
14,2.2881,0.12221,0.125,1.0174,0,0,1.0676,
15,2.2871,0.13058,0.15625,0.94742,0,0,1.1554,0.42969
16,2.2859,0.13393,0.125,0.97555,0,0,0.99027,
17,2.2852,0.14788,0.16797,0.83476,0,0,0.8981,
18,2.2851,0.13895,0.15625,1.0424,0,0,1.0186,0.47266
19,2.2844,0.15123,0.15234,0.94913,0,0,0.93274,
20,2.2838,0.16016,0.17578,1.0752,0,0,0.92463,
21,2.2834,0.17188,0.19531,1.2006,0,0,1.0084,0.46875
22,2.2828,0.18304,0.1875,0.9989,0,0,0.92544,
23,2.2828,0.17467,0.1875,1.0735,0,0,0.89114,
24,2.2823,0.16406,0.17188,1.1049,0,0,1.0194,0.47656
25,2.282,0.16574,0.20703,0.94279,0,0,0.93231,
26,2.2817,0.17801,0.1875,1.1333,0,0,0.88469,
27,2.2816,0.17132,0.17969,1.0189,0,0,1.1763,0.49219
28,2.2815,0.17746,0.1875,0.92767,0,0,0.943,
29,2.2814,0.17132,0.19141,1.0621,0,0,1.0377,0.47656
