epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.7012,0.10156,0.10938,2.6218,0,0,0.63972,0.56641
1,2.3418,0.12388,0.14062,1.776,0,0,0.41474,
2,2.2885,0.13281,0.18359,1.6663,0,0,0.39273,
3,2.2325,0.16127,0.17578,1.471,0,0,0.45756,0.52344
4,2.1966,0.16964,0.19922,1.5506,0,0,0.3855,
5,2.1722,0.17634,0.1875,1.5858,0,0,0.41514,
6,2.1636,0.17355,0.19922,1.9995,0,0,0.49451,0.53906
7,2.1429,0.18415,0.15625,1.8733,0,0,0.45451,
8,2.1264,0.18862,0.21875,1.7525,0,0,0.40375,
9,2.1186,0.21484,0.23438,2.2792,0,0,0.47845,0.54297
10,2.0948,0.23772,0.21875,2.1556,0,0,0.39507,
11,2.0716,0.25614,0.26953,2.4244,0,0,0.38138,
12,2.039,0.2606,0.26172,2.7017,0,0,0.49234,0.55859
13,1.9873,0.28795,0.23828,2.8223,0,0,0.46096,
14,1.9373,0.31362,0.29688,3.6147,0,0,0.59404,
15,1.9073,0.31864,0.29297,5.3271,0,0,0.88468,0.58203
16,1.8526,0.32422,0.32812,6.0385,0,0,0.40893,
17,1.815,0.33761,0.31641,5.2224,0,0,0.38002,
18,1.7693,0.34989,0.30859,5.9558,0,0,0.46509,0.61328
19,1.7372,0.3644,0.33594,5.4441,0,0,0.38052,
20,1.7112,0.38225,0.31641,5.1994,0,0,0.37559,
21,1.6979,0.37835,0.34766,7.2414,0,0,0.45242,0.60547
22,1.6747,0.38839,0.35156,5.7335,0,0,0.44964,
23,1.6624,0.40067,0.36719,5.9163,0,0,0.39717,
24,1.6469,0.40234,0.35156,5.9091,0,0,0.47082,0.60156
25,1.6334,0.39844,0.41016,4.8839,0,0,0.35684,
26,1.6199,0.42132,0.39453,4.6606,0,0,0.3748,
27,1.6176,0.4135,0.41797,5.504,0,0,0.4506,0.60547
28,1.6159,0.41239,0.40234,6.987,0,0,0.38134,
29,1.6042,0.43304,0.41797,5.9402,0,0,0.49226,0.57422
