epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.71762,0.52009,0.44922,1.6257,0,0,0.71462,
1,0.67182,0.58092,0.89844,0.88577,0,0,0.75681,
2,0.59057,0.82478,0.89453,1.0709,0,0,0.56442,
3,0.23806,0.95926,0.98828,4.6925,0,0,0.51289,
4,0.04592,0.99219,0.98828,2.8001,0,0,0.52875,
5,0.016678,0.99554,1,2.7111,0,0,0.51041,
6,0.14177,0.91964,0.5,5.1648,0,0,0.49521,
7,0.24737,0.90625,0.98438,16.844,0,0,0.47461,
8,0.038276,0.98828,1,6.7062,0,0,0.47634,
9,0.0027219,1,1,0.31561,0,0,0.4712,
10,0.0052284,0.99888,1,0.47009,0,0,0.46935,
11,0.0050312,0.99888,1,0.22447,0,0,0.47276,
12,0.0024032,0.99944,1,0.0779,0,0,0.47182,
13,0.0015347,1,1,0.081908,0,0,0.46962,
14,0.0011595,1,1,0.084752,0,0,0.49296,
15,0.0011929,1,1,0.078534,0,0,0.49481,
16,0.00066773,1,1,0.06055,0,0,0.48924,
17,0.00080581,1,1,0.03907,0,0,0.48181,
18,0.00043733,1,1,0.021889,0,0,0.49808,
19,0.00037671,1,1,0.013363,0,0,0.47859,
20,0.0003439,1,1,0.010507,0,0,0.47345,
21,0.00032381,1,1,0.012487,0,0,0.48894,
22,0.0003039,1,1,0.012204,0,0,0.4741,
23,0.00028994,1,1,0.011481,0,0,0.46982,
24,0.00027902,1,1,0.010911,0,0,0.46943,
25,0.00027015,1,1,0.011414,0,0,0.50035,
26,0.00026209,1,1,0.011933,0,0,0.47203,
27,0.00025651,1,1,0.011493,0,0,0.5258,
28,0.00025484,1,1,0.011678,0,0,0.46856,
29,0.0002453,1,1,0.012234,0,0,0.4714,
