epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3514,0.089844,0.09375,1.3413,0,0,1.1313,0.48047
1,2.3035,0.12221,0.12891,0.90952,0,0,0.90893,
2,2.3033,0.12667,0.14062,0.55229,0,0,0.89,
3,2.3006,0.13225,0.14062,0.63434,0,0,1.0331,0.41016
4,2.3013,0.11217,0.13281,0.34032,0,0,0.91679,
5,2.3013,0.1077,0.14844,0.18037,0,0,0.89096,
6,2.2999,0.10938,0.12109,0.27055,0,0,1.1797,0.29688
7,2.3028,0.1077,0.13672,0.42272,0,0,0.87677,
8,2.3026,0.097098,0.13672,0.0004574,0,0,0.93112,
9,2.3026,0.097098,0.13672,0,0,0,1.0121,0.089844
10,2.3026,0.097098,0.13672,0,0,0,0.85753,
11,2.3026,0.097098,0.13672,0,0,0,0.88542,
12,2.3026,0.097098,0.13672,0,0,0,1.0258,0.089844
13,2.3026,0.097098,0.13672,0,0,0,1.033,
14,2.3026,0.097098,0.13672,0,0,0,0.87621,
15,2.3026,0.097098,0.13672,0,0,0,1.0195,0.089844
16,2.3026,0.097098,0.13672,0,0,0,0.99558,
17,2.3026,0.097098,0.13672,0,0,0,0.81698,
18,2.3026,0.097098,0.13672,0,0,0,1.0361,0.089844
19,2.3026,0.097098,0.13672,0,0,0,0.98245,
20,2.3026,0.097098,0.13672,0,0,0,0.94103,
21,2.3026,0.097098,0.13672,0,0,0,1.0676,0.089844
22,2.3026,0.097098,0.13672,0,0,0,0.90481,
23,2.3026,0.097098,0.13672,0,0,0,0.91078,
24,2.3026,0.097098,0.13672,0,0,0,1.0195,0.089844
25,2.3026,0.097098,0.13672,0,0,0,1.0906,
26,2.3026,0.097098,0.13672,0,0,0,0.98571,
27,2.3026,0.097098,0.13672,0,0,0,0.99788,0.089844
28,2.3026,0.097098,0.13672,0,0,0,1.0037,
29,2.3026,0.097098,0.13672,0,0,0,1.1786,0.089844
