epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.4079,0.11161,0.13281,2.4602,0,0,0.31457,
1,2.339,0.10491,0.13281,1.1414,0,0,0.2882,
2,2.3198,0.10491,0.13281,1.04,0,0,0.27354,
3,2.3112,0.10491,0.13281,0.85303,0,0,0.2754,
4,2.3075,0.082589,0.046875,0.88253,0,0,0.26958,
5,2.3059,0.085938,0.054688,0.84848,0,0,0.27245,
6,2.3058,0.094866,0.054688,0.82186,0,0,0.28027,
7,2.3056,0.092634,0.054688,0.85169,0,0,0.27836,
8,2.3053,0.094866,0.0625,0.69737,0,0,0.29739,
9,2.3052,0.098214,0.0625,0.6139,0,0,0.27427,
