epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.4538,0.09933,0.09375,3.3019,0,0,0.44507,
1,2.4006,0.08817,0.13281,2.2599,0,0,0.30244,
2,2.3692,0.10491,0.13281,1.9043,0,0,0.30198,
3,2.3524,0.10491,0.13281,1.4418,0,0,0.31426,
4,2.3426,0.10491,0.13281,1.3442,0,0,0.29763,
5,2.3364,0.10491,0.13281,1.3194,0,0,0.37613,
6,2.3326,0.10491,0.13281,1.0795,0,0,0.31149,
7,2.3299,0.10491,0.13281,1.148,0,0,0.31891,
8,2.3285,0.10491,0.13281,1.0659,0,0,0.29117,
9,2.3275,0.10491,0.13281,0.80939,0,0,0.29204,
