epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.7232,0.49219,0.46875,1.8476,0,0,0.52305,
1,0.68332,0.5519,0.85938,1.0708,0,0,0.64229,
2,0.59958,0.73828,0.55859,4.9606,0,0,0.52581,
3,0.49884,0.73661,0.91797,10.401,0,0,0.47191,
4,0.35912,0.85491,0.96484,16.576,0,0,0.47866,
5,0.45441,0.75558,0.53125,12.395,0,0,0.4945,
6,0.37744,0.79799,0.98438,7.579,0,0,0.51613,
7,0.28955,0.85268,0.98438,21.281,0,0,0.4927,
8,0.26889,0.90402,0.65234,41.606,0,0,0.47104,
9,0.48644,0.76786,0.94141,26.546,0,0,0.46999,
10,0.14102,0.94141,0.99609,17.512,0,0,0.46934,
11,0.087131,0.96931,0.87109,14.1,0,0,0.47394,
12,0.15218,0.94754,0.98828,15.626,0,0,0.52865,
13,0.081594,0.96596,0.99609,10.202,0,0,0.51418,
14,0.043354,0.98661,0.99219,12.564,0,0,0.47112,
15,0.040938,0.9894,0.99609,9.1194,0,0,0.46426,
16,0.041231,0.98828,1,5.8134,0,0,0.47628,
17,0.03899,0.9894,0.97266,5.0613,0,0,0.47607,
18,0.047341,0.98828,0.99219,5.6181,0,0,0.48545,
19,0.037259,0.98996,1,5.5493,0,0,0.46889,
20,0.018399,0.99554,0.99609,2.9938,0,0,0.47627,
21,0.016127,0.99665,1,1.1669,0,0,0.50098,
22,0.013685,0.99721,1,3.3578,0,0,0.52176,
23,0.010258,0.99833,1,1.0387,0,0,0.49578,
24,0.016049,0.99721,1,1.8877,0,0,0.49471,
25,0.010903,0.99833,1,2.6962,0,0,0.46725,
26,0.0091542,0.99777,1,6.4874,0,0,0.47188,
27,0.010888,0.99777,1,4.1136,0,0,0.49512,
28,0.0084822,0.99888,1,2.087,0,0,0.62383,
29,0.0097483,0.99833,1,1.6281,0,0,0.47394,
