epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3339,0.10491,0.10938,1.6494,0,0,0.37764,
1,2.3119,0.087054,0.078125,1.4721,0,0,0.31079,
2,2.3063,0.094866,0.0625,1.0761,0,0,0.28978,
3,2.303,0.10045,0.070312,1.1731,0,0,0.29212,
4,2.3022,0.10268,0.085938,1.2877,0,0,0.27797,
5,2.3014,0.10379,0.070312,1.2955,0,0,0.27739,
6,2.3006,0.10156,0.0625,1.1667,0,0,0.27853,
7,2.3001,0.10714,0.085938,0.96413,0,0,0.27286,
8,2.2998,0.11049,0.070312,0.95412,0,0,0.33697,
9,2.2997,0.10938,0.070312,0.87244,0,0,0.29787,
