epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.80586,0.49442,0.47656,2.8105,0,0,0.80758,
1,0.69579,0.51507,0.67969,1.0747,0,0,0.48702,
2,0.66726,0.70257,0.78516,0.87076,0,0,0.46996,
3,0.4402,0.83873,0.95703,9.1203,0,0,0.47181,
4,0.1144,0.97377,0.98047,12.129,0,0,0.47589,
5,0.65049,0.60324,0.64453,33.919,0,0,0.47288,
6,0.58766,0.76674,0.98047,30.065,0,0,0.5072,
7,0.14,0.96875,0.98828,9.4245,0,0,0.49233,
8,0.14864,0.95089,0.91406,15.093,0,0,0.51617,
9,0.12384,0.9615,0.86328,14.559,0,0,0.46782,
10,0.15965,0.9548,0.98828,9.7951,0,0,0.47175,
11,0.067685,0.98438,0.98828,4.0801,0,0,0.46797,
12,0.087031,0.97768,0.97656,10.329,0,0,0.49794,
13,0.14941,0.9615,0.98828,18.16,0,0,0.48566,
14,0.053995,0.98828,0.99219,3.4428,0,0,0.47463,
15,0.049002,0.99051,0.98828,3.2214,0,0,0.5142,
16,0.047457,0.98772,0.98438,4.5064,0,0,0.47433,
17,0.031446,0.99386,0.98828,1.7015,0,0,0.50731,
18,0.078209,0.97824,0.96484,13.779,0,0,0.48013,
19,0.031994,0.99386,0.98828,1.0791,0,0,0.46419,
20,0.03496,0.99219,0.98828,2.6057,0,0,0.46693,
21,0.028111,0.99498,0.98438,2.1362,0,0,0.48172,
22,0.04528,0.98996,0.99219,6.6074,0,0,0.47929,
23,0.024134,0.99498,0.99219,1.7428,0,0,0.46414,
24,0.024727,0.99498,0.99609,1.8101,0,0,0.464,
25,0.026371,0.99498,0.99219,1.9074,0,0,0.4695,
26,0.023164,0.99498,0.98828,2.7833,0,0,0.48535,
27,0.023115,0.99554,0.99609,2.4753,0,0,0.48254,
28,0.024583,0.99498,0.99219,2.968,0,0,0.49342,
29,0.021915,0.99609,0.99219,0.80737,0,0,0.47249,
