epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.5531,0.10324,0.15234,3.0159,0,0,0.48352,0.46484
1,2.3264,0.11105,0.10156,1.5478,0,0,0.53247,
2,2.2946,0.12277,0.15234,1.479,0,0,0.3903,
3,2.2596,0.1423,0.16016,1.3564,0,0,0.4444,0.53516
4,2.2219,0.14453,0.14453,1.6373,0,0,0.3692,
5,2.1803,0.18136,0.1875,1.8007,0,0,0.3754,
6,2.1508,0.18973,0.1875,1.9544,0,0,0.46656,0.50781
7,2.0981,0.22042,0.26562,2.1391,0,0,0.36503,
8,2.0153,0.28125,0.32422,2.1713,0,0,0.36827,
9,1.936,0.2885,0.33203,2.6716,0,0,0.44619,0.46875
10,1.8902,0.32254,0.34766,3.5013,0,0,0.38175,
11,1.8223,0.32143,0.33984,2.9531,0,0,0.67298,
12,1.778,0.34096,0.33984,3.351,0,0,0.66682,0.57031
13,1.7474,0.35379,0.34766,3.8595,0,0,0.40119,
14,1.7076,0.37891,0.37891,3.4252,0,0,0.38017,
15,1.69,0.37277,0.36719,3.8738,0,0,0.46886,0.52344
16,1.6765,0.38504,0.39844,4.5082,0,0,0.57324,
17,1.6436,0.38393,0.40625,3.2034,0,0,0.39979,
18,1.6303,0.40011,0.39062,3.5902,0,0,0.70233,0.57031
19,1.6194,0.41629,0.38281,4.0159,0,0,0.36432,
20,1.6039,0.41239,0.39844,3.4934,0,0,0.40109,
21,1.5967,0.41295,0.40234,3.6154,0,0,0.68042,0.57422
22,1.5861,0.42578,0.42188,3.6102,0,0,0.43169,
23,1.5768,0.41908,0.42188,3.7881,0,0,0.39573,
24,1.5812,0.42188,0.40625,4.7873,0,0,0.48789,0.56641
25,1.565,0.42857,0.40625,3.59,0,0,0.33917,
26,1.5575,0.4308,0.45703,3.6161,0,0,0.39057,
27,1.5518,0.42801,0.44531,3.233,0,0,0.54054,0.56641
28,1.5479,0.44141,0.42188,3.5153,0,0,0.36042,
29,1.5445,0.43638,0.42969,3.4772,0,0,0.50295,0.60156
