epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3069,0.095424,0.097656,0.2923,0,0,0.81842,0.11328
1,2.3031,0.10491,0.089844,0.21839,0,0,0.67027,
2,2.302,0.094308,0.10938,0.20878,0,0,0.68447,
3,2.302,0.09654,0.089844,0.17274,0,0,0.81843,0.11328
4,2.3017,0.090402,0.089844,0.19322,0,0,0.67638,
5,2.3016,0.101,0.10938,0.1867,0,0,0.67722,
6,2.3015,0.091518,0.10938,0.19404,0,0,0.80819,0.11328
7,2.3014,0.098772,0.10938,0.15035,0,0,0.6786,
8,2.3014,0.098772,0.089844,0.17473,0,0,0.71328,
9,2.3012,0.10435,0.089844,0.18804,0,0,0.85576,0.11328
10,2.3015,0.10435,0.089844,0.19683,0,0,0.74218,
11,2.3013,0.085379,0.089844,0.1857,0,0,0.74286,
12,2.3012,0.10212,0.10938,0.16573,0,0,1.0527,0.11328
13,2.3015,0.098772,0.10938,0.18562,0,0,1.1111,
14,2.3011,0.09654,0.10938,0.19162,0,0,0.68414,
15,2.3013,0.092634,0.097656,0.19257,0,0,0.64889,0.11328
16,2.3012,0.089286,0.089844,0.18446,0,0,0.55516,
17,2.3011,0.10435,0.089844,0.16817,0,0,0.53613,
18,2.3012,0.091518,0.10938,0.19381,0,0,0.73455,0.11328
19,2.3011,0.098772,0.10938,0.18443,0,0,0.5579,
20,2.3011,0.10212,0.097656,0.18557,0,0,0.51966,
21,2.3011,0.10324,0.097656,0.20534,0,0,0.6181,0.11328
22,2.301,0.10324,0.097656,0.1824,0,0,0.84708,
23,2.3011,0.10324,0.097656,0.19214,0,0,0.74953,
24,2.301,0.093192,0.097656,0.1848,0,0,1.0293,0.11328
25,2.301,0.097098,0.097656,0.16651,0,0,0.79975,
26,2.301,0.089844,0.097656,0.20721,0,0,0.72527,
27,2.301,0.10045,0.097656,0.18956,0,0,0.83672,0.11328
28,2.301,0.10324,0.097656,0.16821,0,0,0.71234,
29,2.301,0.10324,0.097656,0.18798,0,0,0.89109,0.11328
