epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.71998,0.50391,0.44922,1.6001,0,0,0.46691,
1,0.68966,0.53739,0.58594,0.78109,0,0,0.48899,
2,0.67645,0.58594,0.44922,0.67991,0,0,0.46796,
3,0.61706,0.72545,0.96875,3.6324,0,0,0.47248,
4,0.37327,0.87054,0.97266,21.203,0,0,0.46422,
5,0.25275,0.92969,0.67188,31.496,0,0,0.47152,
6,0.26668,0.86719,0.97656,19.842,0,0,0.46792,
7,0.12382,0.96763,0.92969,13.903,0,0,0.4719,
8,0.13581,0.95926,0.97266,17.968,0,0,0.46858,
9,0.065979,0.97991,0.90625,11.443,0,0,0.46684,
10,0.1009,0.96429,0.98828,22.876,0,0,0.47684,
11,0.05807,0.9827,0.96875,12.719,0,0,0.46727,
12,0.11129,0.96429,0.98047,15.38,0,0,0.47793,
13,0.070319,0.97991,0.98828,9.4533,0,0,0.46964,
14,0.082083,0.96763,0.96875,15.179,0,0,0.46807,
15,0.049002,0.98214,0.97656,9.6314,0,0,0.46514,
16,0.064621,0.9827,0.99609,14.207,0,0,0.47093,
17,0.039013,0.9894,0.99219,7.6723,0,0,0.47001,
18,0.095068,0.96038,0.99609,16.113,0,0,0.46732,
19,0.037762,0.98996,0.99219,9.2834,0,0,0.46368,
20,0.028429,0.99275,0.99609,7.166,0,0,0.50845,
21,0.023749,0.9933,0.99609,4.1917,0,0,0.47018,
22,0.02711,0.99386,0.98828,15.43,0,0,0.51641,
23,0.022185,0.99442,0.99219,6.0628,0,0,0.48654,
24,0.019484,0.99554,0.99609,4.5973,0,0,0.47068,
25,0.029892,0.99275,0.99219,5.3325,0,0,0.47746,
26,0.019092,0.99554,0.98828,5.1679,0,0,0.47104,
27,0.02045,0.99219,0.99609,6.3498,0,0,0.46721,
28,0.019205,0.99609,0.99609,2.535,0,0,0.46842,
29,0.020087,0.99609,1,10.457,0,0,0.47133,
