epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.5791,0.10658,0.097656,3.5301,0,0,1.0345,0.48047
1,2.3602,0.10491,0.097656,1.409,0,0,0.90055,
2,2.3137,0.074777,0.09375,1.2192,0,0,0.88571,
3,2.302,0.092634,0.09375,0.9984,0,0,1.012,0.49219
4,2.2989,0.093192,0.13281,1.1866,0,0,0.96715,
5,2.2988,0.093192,0.10156,0.92499,0,0,0.95099,
6,2.2978,0.090402,0.13281,1.0283,0,0,1.1182,0.51562
7,2.3002,0.10379,0.082031,1.2507,0,0,0.99182,
8,2.2976,0.098772,0.10156,1.1771,0,0,1.0474,
9,2.2973,0.10491,0.14453,1.1199,0,0,1.0255,0.50391
10,2.298,0.10491,0.10938,1.1531,0,0,0.91456,
11,2.2964,0.12444,0.125,1.1541,0,0,0.88811,
12,2.2967,0.101,0.13281,1.1341,0,0,1.7402,0.47656
13,2.2964,0.11998,0.12109,1.1111,0,0,1.4033,
14,2.2967,0.10491,0.10938,1.1143,0,0,1.0054,
15,2.2961,0.10268,0.11328,1.0343,0,0,1.0734,0.46875
16,2.2954,0.11998,0.125,1.0466,0,0,0.87237,
17,2.2949,0.11886,0.14453,1.0763,0,0,0.84052,
18,2.2942,0.11886,0.13281,1.0535,0,0,1.0251,0.48047
19,2.2945,0.11886,0.13281,1.1488,0,0,1.0041,
20,2.2941,0.12723,0.125,1.0453,0,0,1.0916,
21,2.2943,0.11049,0.125,1.0702,0,0,1.0232,0.48047
22,2.2939,0.12444,0.125,1.2615,0,0,0.8888,
23,2.2939,0.14007,0.15234,1.077,0,0,0.8582,
24,2.2936,0.12667,0.125,1.1675,0,0,1.0241,0.46484
25,2.2936,0.12221,0.12109,1.0666,0,0,0.84786,
26,2.2937,0.11886,0.125,1.1582,0,0,0.92339,
27,2.2934,0.13114,0.13281,1.0772,0,0,1.0272,0.48438
28,2.2934,0.12556,0.12891,1.0846,0,0,0.8887,
29,2.2935,0.13058,0.14062,1.2355,0,0,1.044,0.47656
