epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.80011,0.49888,0.47656,2.841,0,0,0.46826,
1,0.66575,0.61105,0.96484,1.0717,0,0,0.54399,
2,0.31409,0.95424,0.96875,5.2855,0,0,0.4705,
3,0.12324,0.96596,0.98828,16.414,0,0,0.46778,
4,0.18993,0.94866,0.99219,42.363,0,0,0.47229,
5,0.024476,0.99554,0.98828,2.7317,0,0,0.47645,
6,0.021927,0.99442,0.99219,2.0463,0,0,0.46955,
7,0.015509,0.99721,0.99219,0.69342,0,0,0.46814,
8,0.020463,0.99554,1,2.3566,0,0,0.47171,
9,0.0069173,0.99944,1,0.20933,0,0,0.47063,
10,0.008727,0.99833,1,0.33266,0,0,0.47629,
11,0.0087204,0.99888,1,0.11308,0,0,0.4689,
12,0.0074673,0.99888,1,0.21429,0,0,0.47168,
13,0.0081459,0.99777,1,1.1625,0,0,0.46806,
14,0.010814,0.99721,1,2.5603,0,0,0.47262,
15,0.015355,0.99665,0.99609,0.75147,0,0,0.46869,
16,0.015146,0.99554,0.99609,6.7098,0,0,0.46942,
17,0.0052198,0.99944,0.99609,0.14621,0,0,0.46881,
18,0.0052861,0.99944,0.99219,0.10657,0,0,0.46744,
19,0.005351,0.99944,1,0.095239,0,0,0.47303,
20,0.0051509,0.99944,0.99609,0.087776,0,0,0.46934,
21,0.0051516,0.99944,1,0.62609,0,0,0.47207,
22,0.0057643,0.99888,1,0.18931,0,0,0.47643,
23,0.0051498,0.99944,1,0.073,0,0,0.47664,
24,0.0048692,0.99944,0.99609,0.074789,0,0,0.4701,
25,0.0042529,0.99944,1,0.78078,0,0,0.48344,
26,0.003112,1,0.99609,0.61195,0,0,0.49344,
27,0.0047953,0.99944,1,0.20255,0,0,0.47194,
28,0.0021492,1,1,0.028971,0,0,0.47971,
29,0.0050143,0.99944,0.99609,0.1361,0,0,0.48009,
