epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.6355,0.10156,0.082031,4.7268,0,0,0.63722,0.51953
1,2.3285,0.11105,0.13672,2.0644,0,0,0.4049,
2,2.3169,0.10603,0.10547,2.0309,0,0,0.40337,
3,2.2879,0.11998,0.10547,1.6806,0,0,0.6292,0.57422
4,2.2935,0.11998,0.089844,1.9855,0,0,0.41682,
5,2.2785,0.13058,0.14453,1.9976,0,0,0.40284,
6,2.2576,0.16071,0.19922,2.3325,0,0,0.46809,0.5625
7,2.1708,0.18694,0.16016,12.127,0,0,0.44898,
8,2.185,0.20033,0.20312,24.221,0,0,0.40347,
9,2.1106,0.20257,0.30078,19.083,0,0,0.51371,0.59766
10,2.0606,0.2433,0.21484,14.854,0,0,0.48064,
11,2.0097,0.24665,0.25781,13.798,0,0,0.43517,
12,1.9767,0.28683,0.30078,21.958,0,0,0.50144,0.60547
13,1.963,0.29018,0.34766,23.936,0,0,0.41486,
14,1.919,0.30078,0.29688,25.045,0,0,0.50916,
15,1.9471,0.29129,0.31641,26.784,0,0,0.819,0.57031
16,1.8882,0.33036,0.33203,21.565,0,0,0.46002,
17,1.8916,0.33259,0.39844,25.986,0,0,0.44118,
18,1.8367,0.33705,0.35156,24.071,0,0,0.57178,0.57812
19,1.7969,0.36775,0.36328,13.822,0,0,0.40999,
20,1.7837,0.37444,0.38281,15.716,0,0,0.37709,
21,1.7729,0.36496,0.35938,15.451,0,0,0.47375,0.58203
22,1.8055,0.35658,0.34766,29.115,0,0,0.45519,
23,1.756,0.37779,0.38672,15.524,0,0,0.37187,
24,1.7516,0.38058,0.41797,16.858,0,0,0.42232,0.58203
25,1.7396,0.37946,0.37109,16.569,0,0,0.40576,
26,1.7369,0.38393,0.34375,16.664,0,0,0.38655,
27,1.7362,0.38951,0.40625,18.291,0,0,0.45728,0.57812
28,1.7374,0.38616,0.39453,20.808,0,0,0.40564,
29,1.7274,0.38951,0.375,13.707,0,0,0.45133,0.57422
