epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.72211,0.49386,0.44922,1.5533,0,0,0.46559,
1,0.68235,0.56808,0.92578,0.6875,0,0,0.48428,
2,0.52258,0.82757,0.93359,8.2341,0,0,0.46475,
3,0.27848,0.91127,0.96484,14.272,0,0,0.46644,
4,0.29119,0.89342,0.96875,17.198,0,0,0.46535,
5,0.23119,0.93415,0.96094,13.51,0,0,0.46865,
6,0.13407,0.95982,0.98438,8.2951,0,0,0.46848,
7,0.13026,0.96484,0.98828,7.267,0,0,0.46414,
8,0.12584,0.95703,0.97266,8.9408,0,0,0.46345,
9,0.15314,0.93806,0.98438,13.234,0,0,0.47129,
10,0.085683,0.97489,0.99219,5.5246,0,0,0.46574,
11,0.082881,0.9721,0.99219,4.4352,0,0,0.47103,
12,0.070876,0.97712,0.99219,5.8474,0,0,0.47831,
13,0.067328,0.97879,0.98828,3.6319,0,0,0.5103,
14,0.058041,0.97991,0.98047,4.5502,0,0,0.5727,
15,0.11695,0.94866,0.99609,13.869,0,0,0.57561,
16,0.059338,0.98214,0.99609,4.7229,0,0,0.50038,
17,0.049545,0.98214,1,4.8541,0,0,0.5667,
18,0.042504,0.98605,0.99219,2.9593,0,0,0.49436,
19,0.032192,0.98996,0.99219,2.2825,0,0,0.4838,
20,0.032038,0.98828,0.99219,2.4659,0,0,0.47325,
21,0.030211,0.98996,0.99609,2.5869,0,0,0.48806,
22,0.029863,0.99051,0.99609,3.2684,0,0,0.59692,
23,0.025774,0.99051,1,2.654,0,0,0.49171,
24,0.025467,0.99051,0.99609,2.5511,0,0,0.47651,
25,0.022258,0.99386,0.99609,1.7591,0,0,0.47612,
26,0.023527,0.99275,0.99219,3.5791,0,0,0.4743,
27,0.023027,0.9933,0.99609,2.2391,0,0,0.46967,
28,0.020841,0.9933,0.99609,2.3067,0,0,0.46496,
29,0.021264,0.99275,0.99609,2.326,0,0,0.47393,
