epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.8945,0.10156,0.074219,4.1934,0,0,0.56581,0.58203
1,2.3443,0.10045,0.11328,1.4753,0,0,0.44826,
2,2.304,0.10212,0.10547,1.1998,0,0,0.46288,
3,2.2701,0.12667,0.16406,1.231,0,0,0.52423,0.53906
4,2.2266,0.15737,0.14844,1.4132,0,0,0.61685,
5,2.1584,0.15625,0.18359,1.5987,0,0,0.4506,
6,2.1253,0.17634,0.23438,1.8109,0,0,0.61125,0.49219
7,2.0959,0.19531,0.29297,1.8977,0,0,0.43647,
8,2.0486,0.23605,0.26172,1.9525,0,0,0.44612,
9,2.0064,0.26562,0.26953,1.8913,0,0,0.58833,0.47266
10,1.9562,0.29632,0.34375,2.1269,0,0,0.47925,
11,1.9118,0.32422,0.35938,2.4724,0,0,0.46039,
12,1.8636,0.3365,0.36719,2.6426,0,0,0.60244,0.49609
13,1.8209,0.35324,0.38672,2.4883,0,0,1.152,
14,1.7912,0.36998,0.39844,3.0841,0,0,0.84926,
15,1.7461,0.37054,0.44141,2.852,0,0,1.2082,0.51172
16,1.7061,0.399,0.46094,2.8621,0,0,0.72803,
17,1.6712,0.4308,0.46094,2.8773,0,0,0.60987,
18,1.6457,0.42857,0.46875,3.0943,0,0,0.59269,0.53516
19,1.621,0.44531,0.44531,3.2996,0,0,0.47723,
20,1.6072,0.44085,0.45312,3.7668,0,0,0.46574,
21,1.5863,0.44308,0.46875,3.8335,0,0,0.56792,0.53125
22,1.5754,0.45424,0.44922,4.0282,0,0,0.455,
23,1.5591,0.4615,0.48828,3.8625,0,0,0.47084,
24,1.5407,0.45815,0.48828,3.6557,0,0,0.54956,0.52344
25,1.5304,0.46373,0.51172,3.6107,0,0,0.56747,
26,1.5165,0.46596,0.46484,3.6007,0,0,0.46425,
27,1.5139,0.46931,0.49219,4.3199,0,0,0.60963,0.52344
28,1.5041,0.47824,0.49609,3.845,0,0,0.56319,
29,1.4946,0.48103,0.48047,3.55,0,0,0.54944,0.52344
