epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.79351,0.5,0.47656,2.7936,0,0,0.46398,
1,0.62888,0.69699,0.99219,1.1189,0,0,0.54621,
2,0.14681,0.98382,0.99609,4.8531,0,0,0.46753,
3,0.046419,0.98382,0.53516,10.724,0,0,0.47388,
4,0.264,0.88281,1,4.6306,0,0,0.46157,
5,0.016022,0.99721,1,1.2101,0,0,0.4734,
6,0.014905,0.99721,0.99609,1.3914,0,0,0.46548,
7,0.015595,0.99665,1,0.74755,0,0,0.47238,
8,0.0058689,0.99944,1,0.48321,0,0,0.48056,
9,0.010039,0.99721,1,1.2215,0,0,0.46533,
10,0.0057372,0.99888,1,0.47405,0,0,0.47157,
11,0.0077274,0.99888,1,1.1815,0,0,0.46669,
12,0.0073474,0.99833,0.99609,0.52383,0,0,0.46908,
13,0.0092216,0.99777,0.99609,0.64144,0,0,0.46588,
14,0.0054907,0.99944,1,0.45006,0,0,0.46977,
15,0.0035758,1,1,0.2667,0,0,0.4666,
16,0.0030715,1,1,0.19092,0,0,0.47117,
17,0.0031285,0.99944,1,0.29994,0,0,0.47002,
18,0.0060284,0.99888,1,0.30786,0,0,0.4687,
19,0.0031865,0.99944,1,0.19152,0,0,0.46917,
20,0.0021966,1,1,0.057399,0,0,0.47001,
21,0.0021352,1,1,0.13303,0,0,0.46603,
22,0.0022122,1,1,0.10948,0,0,0.46589,
23,0.0021364,1,1,0.15589,0,0,0.46821,
24,0.0020012,1,1,0.085048,0,0,0.47266,
25,0.001844,1,1,0.055477,0,0,0.51899,
26,0.002151,1,1,0.2339,0,0,0.47051,
27,0.0017904,1,1,0.041085,0,0,0.46797,
28,0.0017438,1,1,0.043334,0,0,0.47169,
29,0.0018784,1,1,0.14449,0,0,0.48127,
