epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.71101,0.53683,0.48047,1.8679,0,0,0.48738,
1,0.5879,0.7606,0.92969,1.5251,0,0,0.45417,
2,0.17665,0.94754,0.99219,14.245,0,0,0.45763,
3,0.20483,0.90625,1,22.422,0,0,0.46394,
4,0.048524,0.98772,0.99219,13.268,0,0,0.5978,
5,0.043031,0.98828,0.99609,7.5114,0,0,0.53639,
6,0.042259,0.99107,1,6.4114,0,0,0.4613,
7,0.019738,0.99554,1,4.2281,0,0,0.46219,
8,0.010456,0.99777,1,0.46402,0,0,0.51463,
9,0.0049329,0.99888,0.99609,4.4539,0,0,0.51782,
10,0.0077715,0.99833,1,1.3278,0,0,0.53634,
11,0.15302,0.95759,0.99609,65.947,0,0,0.51394,
12,0.0045941,0.99944,1,1.8542,0,0,0.54091,
13,0.0084049,0.99777,0.99609,0.81027,0,0,0.52025,
14,0.0131,0.99777,0.99609,0.97408,0,0,0.49089,
15,0.0016861,1,0.99609,0.13392,0,0,0.51965,
16,0.0042576,0.99944,1,0.16502,0,0,0.51694,
17,0.025815,0.99609,1,1.7827,0,0,0.47114,
18,0.0045855,0.99888,1,4.6399,0,0,0.48145,
19,0.0016153,1,1,0.68219,0,0,0.49179,
20,0.0038128,0.99944,1,0.76846,0,0,0.45783,
21,0.0012582,1,1,0.093018,0,0,0.50082,
22,0.00082641,1,1,0.035592,0,0,0.45736,
23,0.00077971,1,1,0.039585,0,0,0.45417,
24,0.00074781,1,1,0.043963,0,0,0.5013,
25,0.00073524,1,1,0.041889,0,0,0.464,
26,0.00068843,1,1,0.043101,0,0,0.45919,
27,0.00069277,1,1,0.044453,0,0,0.47272,
28,0.00066488,1,1,0.036852,0,0,0.46646,
29,0.00065814,1,1,0.033795,0,0,0.45249,
