epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.8016,0.097098,0.14062,9.1563,0,0,0.45284,
1,2.3718,0.089286,0.13281,2.8912,0,0,0.45974,
2,2.3318,0.09933,0.13281,2.3872,0,0,0.45819,
3,2.3212,0.10714,0.16406,1.8274,0,0,0.51354,
4,2.3121,0.10156,0.13281,1.6903,0,0,0.43559,
5,2.3097,0.12054,0.15625,1.4947,0,0,0.46567,
6,2.3079,0.10938,0.13281,1.4664,0,0,0.43856,
7,2.3083,0.10603,0.14062,1.6755,0,0,0.44014,
8,2.3051,0.10714,0.13281,0.80586,0,0,0.43235,
9,2.304,0.11384,0.17188,1.3272,0,0,0.42663,
