epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.444,0.09375,0.1875,2.0034,0,0,0.48645,0.64453
1,2.3007,0.13504,0.11328,1.5438,0,0,0.31645,
2,2.282,0.125,0.11328,1.6952,0,0,0.2954,
3,2.2645,0.16239,0.14062,1.4214,0,0,0.46021,0.66406
4,2.2572,0.1596,0.21875,1.6373,0,0,0.33263,
5,2.2239,0.22433,0.20312,1.6629,0,0,0.35326,
6,2.1716,0.2154,0.22656,1.8687,0,0,0.39252,0.67578
7,2.08,0.24163,0.19922,4.1764,0,0,0.34303,
8,1.984,0.27902,0.21484,5.2377,0,0,0.34014,
9,1.9203,0.29743,0.24219,5.4335,0,0,0.40075,0.6875
10,1.8971,0.31808,0.34375,8.328,0,0,0.31782,
11,1.8584,0.33315,0.39062,10.062,0,0,0.33989,
12,1.7832,0.39453,0.38672,4.3858,0,0,0.41388,0.71094
13,1.7353,0.42132,0.33984,4.9236,0,0,0.36043,
14,1.7683,0.37277,0.44922,13.024,0,0,0.34284,
15,1.6854,0.44475,0.40234,8.1592,0,0,0.47373,0.75781
16,1.672,0.44587,0.42188,9.9424,0,0,0.34444,
17,1.6348,0.46708,0.45312,9.3293,0,0,0.34395,
18,1.5885,0.47879,0.45703,6.0134,0,0,0.392,0.72656
19,1.5787,0.47935,0.41016,9.4939,0,0,0.43444,
20,1.5326,0.50837,0.46094,5.982,0,0,0.35452,
21,1.5253,0.5,0.4375,8.7213,0,0,0.42376,0.70312
22,1.493,0.50558,0.46484,6.2815,0,0,0.33974,
23,1.4863,0.51172,0.47656,8.4279,0,0,0.46738,
24,1.4684,0.52009,0.47266,5.9998,0,0,0.69626,0.67188
25,1.4581,0.51897,0.49609,6.7089,0,0,0.35286,
26,1.454,0.51842,0.46875,8.3303,0,0,0.45767,
27,1.4448,0.53683,0.47656,8.739,0,0,0.62589,0.67188
28,1.4409,0.52344,0.46094,8.8771,0,0,0.73614,
29,1.4298,0.5279,0.48438,7.1909,0,0,1.0691,0.67578
