epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3262,0.10714,0.0625,1.1779,0,0,0.32222,
1,2.3049,0.10045,0.0625,0.23442,0,0,0.28517,
2,2.3036,0.10045,0.0625,0.20485,0,0,0.28981,
3,2.3032,0.10045,0.0625,0.19038,0,0,0.27734,
4,2.3029,0.10045,0.0625,0.22974,0,0,0.28703,
5,2.3027,0.10045,0.0625,0.20859,0,0,0.2842,
6,2.3027,0.10045,0.0625,0.20593,0,0,0.31731,
7,2.3025,0.10045,0.0625,0.21236,0,0,0.32262,
8,2.3024,0.10045,0.0625,0.15274,0,0,0.32162,
9,2.3024,0.10045,0.0625,0.14779,0,0,0.31022,
