epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.4593,0.09096,0.11719,2.1422,0,0,0.49643,0.60938
1,2.309,0.12723,0.11328,1.6363,0,0,0.4152,
2,2.2956,0.11272,0.11328,1.8372,0,0,0.40016,
3,2.2823,0.14509,0.14062,1.4922,0,0,0.59234,0.58203
4,2.282,0.14118,0.1875,1.6968,0,0,0.41012,
5,2.2661,0.18694,0.16016,1.7094,0,0,0.54176,
6,2.2439,0.17188,0.19141,1.6135,0,0,0.48352,0.63672
7,2.1996,0.19475,0.19531,1.8796,0,0,0.37587,
8,2.1293,0.23661,0.23438,3.3095,0,0,0.4393,
9,2.0342,0.26842,0.23047,4.7959,0,0,0.62423,0.66016
10,1.9924,0.29074,0.20312,5.1667,0,0,0.35375,
11,1.9991,0.25893,0.25,9.0515,0,0,0.67205,
12,1.9594,0.29632,0.27734,5.7378,0,0,0.48244,0.64844
13,1.987,0.28013,0.23047,10.102,0,0,0.51312,
14,1.9627,0.28739,0.25,9.7248,0,0,0.38689,
15,1.9389,0.29353,0.23828,8.9787,0,0,0.52101,0.63281
16,1.8991,0.34542,0.24609,6.1196,0,0,0.59603,
17,1.8808,0.35714,0.28906,7.2098,0,0,0.45347,
18,1.8576,0.35268,0.32422,6.8814,0,0,0.50031,0.61328
19,1.8347,0.35826,0.34766,8.1763,0,0,0.57333,
20,1.8079,0.38783,0.33203,6.8627,0,0,0.41313,
21,1.7817,0.39453,0.33594,8.262,0,0,0.45832,0.60938
22,1.7476,0.40792,0.37109,7.4525,0,0,0.44707,
23,1.7436,0.41629,0.38281,8.6122,0,0,0.51839,
24,1.7218,0.40569,0.34766,5.6827,0,0,0.4887,0.625
25,1.719,0.42076,0.35938,6.3763,0,0,0.41122,
26,1.7094,0.43248,0.37109,6.2473,0,0,0.42651,
27,1.6987,0.42355,0.375,5.5542,0,0,0.49314,0.59375
28,1.6981,0.4308,0.36328,7.5816,0,0,0.50478,
29,1.693,0.43248,0.39453,5.4092,0,0,0.52012,0.61328
