epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3225,0.091518,0.097656,0.64961,0,0,0.80292,0.089844
1,2.304,0.10491,0.097656,0.15559,0,0,0.73809,
2,2.3032,0.101,0.097656,0.18687,0,0,0.78879,
3,2.3025,0.10491,0.097656,0.14524,0,0,0.83386,0.089844
4,2.3024,0.10491,0.097656,0.18605,0,0,0.68176,
5,2.3023,0.10491,0.097656,0.11308,0,0,0.66482,
6,2.3021,0.10491,0.097656,0.12572,0,0,0.81193,0.089844
7,2.3021,0.10491,0.097656,0.12428,0,0,0.70237,
8,2.302,0.10491,0.097656,0.11888,0,0,0.6499,
9,2.3022,0.10491,0.097656,0.12333,0,0,0.83368,0.089844
10,2.3021,0.10491,0.097656,0.095865,0,0,0.75272,
11,2.3021,0.10491,0.097656,0.13481,0,0,0.70195,
12,2.3021,0.10491,0.097656,0.11107,0,0,0.9507,0.089844
13,2.3022,0.10491,0.097656,0.1247,0,0,1.1368,
14,2.302,0.10491,0.097656,0.11535,0,0,0.86286,
15,2.3021,0.10491,0.097656,0.10959,0,0,0.75925,0.089844
16,2.302,0.10491,0.097656,0.10254,0,0,0.77724,
17,2.302,0.10491,0.097656,0.11656,0,0,0.61636,
18,2.302,0.10491,0.097656,0.10169,0,0,0.81728,0.089844
19,2.3021,0.10491,0.097656,0.11519,0,0,0.8632,
20,2.302,0.10491,0.097656,0.1349,0,0,0.63666,
21,2.302,0.10491,0.097656,0.10975,0,0,0.77098,0.089844
22,2.302,0.10491,0.097656,0.12407,0,0,0.71303,
23,2.302,0.10491,0.097656,0.133,0,0,0.86822,
24,2.302,0.10491,0.097656,0.1072,0,0,1.2196,0.089844
25,2.302,0.10491,0.097656,0.12042,0,0,1.1366,
26,2.302,0.10491,0.097656,0.12122,0,0,1.0231,
27,2.302,0.10491,0.097656,0.10819,0,0,1.0229,0.089844
28,2.302,0.10491,0.097656,0.10107,0,0,0.77087,
29,2.302,0.10491,0.097656,0.12917,0,0,0.96671,0.089844
