epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3262,0.11496,0.089844,1.0225,0,0,0.81928,0.55078
1,2.2993,0.11105,0.13672,0.47333,0,0,0.85022,
2,2.3007,0.10045,0.10547,0.59578,0,0,0.73215,
3,2.2949,0.101,0.097656,0.65495,0,0,0.95219,0.47656
4,2.3001,0.10491,0.089844,0.80766,0,0,0.68717,
5,2.2977,0.15569,0.089844,0.38679,0,0,0.71559,
6,2.2912,0.19252,0.10547,0.62264,0,0,0.82622,0.57422
7,2.2863,0.15625,0.10156,0.67427,0,0,0.79159,
8,2.2838,0.15458,0.10938,1.0759,0,0,0.76943,
9,2.2846,0.125,0.078125,1.2589,0,0,0.90491,0.59375
10,2.2746,0.12946,0.089844,1.0282,0,0,0.88526,
11,2.2687,0.13449,0.13672,1.0106,0,0,0.70584,
12,2.2609,0.14453,0.16797,1.284,0,0,1.1537,0.60938
13,2.2545,0.15625,0.17188,1.3192,0,0,0.75591,
14,2.2585,0.1529,0.10156,1.8003,0,0,0.68472,
15,2.2504,0.13337,0.17969,1.7433,0,0,0.92253,0.61328
16,2.2394,0.17411,0.23047,1.3334,0,0,0.68889,
17,2.2343,0.19866,0.21875,1.3762,0,0,0.82822,
18,2.232,0.20201,0.23438,1.8744,0,0,0.79796,0.62109
19,2.2256,0.20647,0.24219,1.7939,0,0,0.65854,
20,2.2269,0.21038,0.23438,2.0415,0,0,0.81581,
21,2.2236,0.21261,0.30469,2.3627,0,0,1.0616,0.63672
22,2.2159,0.23493,0.31641,1.7399,0,0,1.0688,
23,2.2151,0.23605,0.3125,2.0284,0,0,0.81255,
24,2.2102,0.23884,0.3125,1.7578,0,0,0.95046,0.61719
25,2.2064,0.26228,0.30859,1.8651,0,0,0.76493,
26,2.2042,0.25725,0.29297,1.3952,0,0,0.69329,
27,2.2022,0.25335,0.3125,1.6753,0,0,0.90864,0.59375
28,2.2003,0.25725,0.30469,1.2498,0,0,0.68069,
29,2.2006,0.24721,0.25781,2.1215,0,0,0.79163,0.58594
